native_id,total_change_disparity_wbgt_28,NAME,STATE_NAME,POP_2020
0335100,0.6,Deer Creek,Minnesota,179.576782446195
0335300,0.6,Indian Point,Minnesota,39.9455798864365
0335550,0.4,Nett Lake,Minnesota,411.986814440692
0335700,0.6,Sugarbush,Minnesota,4.49131166283041
0335800,0.5,Vermilion Lake,Minnesota,269.807277313463
0605100,-0.5,1,South Dakota,1364.39080697456
0605200,-1.9,2,South Dakota,342.831220077598
0605300,-1.9,3,South Dakota,624.853989666182
0605400,-0.2,4,South Dakota,3379.20518577106
0605500,0.3,5,South Dakota,1468.16217877041
0605600,0.5,6,South Dakota,626.552096640895
0855100,-1.7,Big Bend,South Dakota,191.062241507116
0855200,0.3,Crow Creek,South Dakota,213.731138145467
0855400,-0.4,Fort Thompson,South Dakota,1495.50195092984
0990050,-0.6,Big Cove,North Carolina,1201.74966269497
0990065,-0.8,Birdtown,North Carolina,2879.14361854619
0990120,-1,Cherokee County,North Carolina,322.416000266327
0990600,-0.8,Painttown,North Carolina,1417.18387877755
0990750,-0.8,Snowbird,North Carolina,632.518090967555
0990850,-0.6,Wolftown,North Carolina,2717.66937444592
0990880,-0.8,Yellowhill,North Carolina,1070.08238922618
1110100,0.1,Arlee,Montana,2970.69062662857
1110250,0.1,Dixon,Montana,881.793814148466
1110300,0.1,Elmo-Dayton,Montana,1419.06098320008
1110400,0.1,Hot Springs,Montana,1631.06365663692
1110500,0.1,Mission,Montana,4189.29658053006
1110600,0.1,Pablo,Montana,4147.44063645002
1110650,0.1,Polson,Montana,9924.32910117276
1110725,0.1,Ronan,Montana,5726.26296899837
1150100,-0.1,Agency,Montana,1286.1141783684
1150250,0,Dodson,Montana,66.581642353136
1150400,0.1,Hays,Montana,921.52354158069
1150550,0.1,Lodge Pole,Montana,365.682380724937
1160150,0.1,Four Bears,North Dakota,791.470404271551
1160300,0.2,Mandaree,North Dakota,979.178351917768
1160450,0.6,Parshall,North Dakota,1469.4743363686
1160600,0.4,Shell Creek,North Dakota,2870.86389143081
1160650,0.5,Twin Buttes,North Dakota,267.024473999891
1160800,0.5,White Shield,North Dakota,651.1068341245
1250150,-0.4,Brockton,Montana,761.372785387553
1250300,-0.9,Fort Kipp,Montana,395.525690370007
1250350,-0.1,Frazier,Montana,688.829806807719
1250650,-0.3,Oswego,Montana,332.393622729312
1250700,-0.5,Poplar,Montana,3093.85315721081
1250825,-0.3,Wolf Point,Montana,4495.86786395933
1310100,1.8,1,Arizona,2377.01280746833
1310200,0.4,2,Arizona,1176.60173019665
1310300,-1.2,3,Arizona,5627.32993415813
1310400,-6.1,4,Arizona,4947.55155205837
1310500,-3.7,5,Arizona,4110.62205068878
1310600,-6.3,6,Arizona,2744.38815899624
1310700,-8.1,7,Arizona,1005.14266666563
1505050,5.2,Blue Point,Arizona,9.24216783540396
1505120,5.2,East Dinnebito,Arizona,359.905569148643
1505140,5.2,Five Houses,Arizona,2274.69200624706
1505160,5.2,Hardrock,Arizona,69.4638063887978
1505165,4.8,Hopi-Winslow,Arizona,87.7410063445568
1505180,4.9,Moenkopi,Arizona,1113.57341367938
1505190,5.2,Moenkopi,Arizona,21.7861757643259
1505200,5.2,North Oraibi,Arizona,957.685772306893
1505220,5.2,Polacca Wash,Arizona,273.435197195271
1505251,5.2,RU251,Arizona,5.7728127514747
1505252,5.2,RU252,Arizona,0.0610091817798093
1505253,5.2,RU253,Arizona,13.7985582867941
1505254,5.2,RU254,Arizona,8.5576821584254e-4
1505255,5.2,RU255,Arizona,5.79001125708464
1505256,5.2,RU256,Arizona,9.25062627766602
1505257,5.2,RU257,Arizona,28.692268157989
1505258,5.2,RU258,Arizona,4.41033529420383
1505259,5.2,RU259,Arizona,2.21917924519585
1505261,5.2,RU261,Arizona,6.61544233339919
1505262,5.2,RU262,Arizona,51.772817035504
1505263,5.2,RU263,Arizona,17.6883974007196
1505351,5.2,RU351,Arizona,1.60124346771045
1505451,5.2,RU451,Arizona,53.0089438205323
1505551,5.2,RU551,Arizona,0.0021937820565654
1505552,5.2,RU552,Arizona,26.5771117865079
1505553,5.2,RU553,Arizona,2.31492610445184
